FusionName	LeftGene	LeftBreakpoint	RightGene	RightBreakpoint	dataset	num_LR	LR_FFPM	num_SR	SR_FFPM
TMPRSS2--ERG	TMPRSS2	chr21:41508081:-	ERG	chr21:38584945:-	MAS-seq-R2	104	13.72	0	NA
NCOA4--RET	NCOA4	chr10:46012883:-	RET	chr10:43116584:+	ISO-seq	41	8.526	2	0.3094
NCOA4--RET	NCOA4	chr10:46012883:-	RET	chr10:43116584:+	MAS-seq-R1	85	10.813	0	NA
NCOA4--RET	NCOA4	chr10:46012883:-	RET	chr10:43116584:+	MAS-seq-R2	60	7.915	4	0.4011
FGFR3--BAIAP2L1	FGFR3	chr4:1806934:+	BAIAP2L1	chr7:98362432:-	ISO-seq	39	8.11	1	0.1547
FGFR3--BAIAP2L1	FGFR3	chr4:1806934:+	BAIAP2L1	chr7:98362432:-	MAS-seq-R1	58	7.378	4	0.3911
FGFR3--BAIAP2L1	FGFR3	chr4:1806934:+	BAIAP2L1	chr7:98362432:-	MAS-seq-R2	41	5.409	0	NA
TPM3--NTRK1	TPM3	chr1:154170400:-	NTRK1	chr1:156874571:+	ISO-seq	37	7.694	0	NA
TPM3--NTRK1	TPM3	chr1:154170400:-	NTRK1	chr1:156874571:+	MAS-seq-R1	69	8.777	2	0.1955
TPM3--NTRK1	TPM3	chr1:154170400:-	NTRK1	chr1:156874571:+	MAS-seq-R2	75	9.894	9	0.9024
CCDC6--RET	CCDC6	chr10:59906122:-	RET	chr10:43116584:+	ISO-seq	36	7.486	2	0.3094
CCDC6--RET	CCDC6	chr10:59906122:-	RET	chr10:43116584:+	MAS-seq-R1	77	9.795	1	0.0978
CCDC6--RET	CCDC6	chr10:59906122:-	RET	chr10:43116584:+	MAS-seq-R2	62	8.179	1	0.1003
PAX8--PPARG	PAX8	chr2:113235394:-	PPARG	chr3:12379704:+	ISO-seq	34	7.07	1	0.1547
PAX8--PPARG	PAX8	chr2:113235394:-	PPARG	chr3:12379704:+	MAS-seq-R1	51	6.488	2	0.1955
PAX8--PPARG	PAX8	chr2:113235394:-	PPARG	chr3:12379704:+	MAS-seq-R2	32	4.222	3	0.3008
EGFR--SEPT14	EGFR	chr7:55200413:+	SEPT14	chr7:55796092:-	ISO-seq	34	7.07	3	0.4641
EGFR--SEPT14	EGFR	chr7:55200413:+	SEPT14	chr7:55796092:-	MAS-seq-R1	55	6.996	2	0.1955
EGFR--SEPT14	EGFR	chr7:55200413:+	SEPT14	chr7:55796092:-	MAS-seq-R2	64	8.443	3	0.3008
SLC45A3--BRAF	SLC45A3	chr1:205680394:-	BRAF	chr7:140794467:-	ISO-seq	28	5.823	2	0.3094
SLC45A3--BRAF	SLC45A3	chr1:205680394:-	BRAF	chr7:140794467:-	MAS-seq-R1	75	9.541	3	0.2933
SLC45A3--BRAF	SLC45A3	chr1:205680394:-	BRAF	chr7:140794467:-	MAS-seq-R2	65	8.575	1	0.1003
EML4--ALK	EML4	chr2:42295516:+	ALK	chr2:29223528:-	ISO-seq	26	5.407	0	NA
EML4--ALK	EML4	chr2:42295516:+	ALK	chr2:29223528:-	MAS-seq-R1	68	8.65	3	0.2933
EML4--ALK	EML4	chr2:42295516:+	ALK	chr2:29223528:-	MAS-seq-R2	52	6.86	2	0.2006
ETV6--NTRK3	ETV6	chr12:11869969:+	NTRK3	chr15:87940753:-	ISO-seq	20	4.159	0	NA
ETV6--NTRK3	ETV6	chr12:11869969:+	NTRK3	chr15:87940753:-	MAS-seq-R1	44	5.597	2	0.1955
ETV6--NTRK3	ETV6	chr12:11869969:+	NTRK3	chr15:87940753:-	MAS-seq-R2	24	3.166	2	0.2005
TFG--NTRK1	TFG	chr3:100732672:+	NTRK1	chr1:156874571:+	ISO-seq	20	4.159	0	NA
TFG--NTRK1	TFG	chr3:100732672:+	NTRK1	chr1:156874571:+	MAS-seq-R1	38	4.834	3	0.2933
TFG--NTRK1	TFG	chr3:100732672:+	NTRK1	chr1:156874571:+	MAS-seq-R2	25	3.298	3	0.3008
