FusionName	celltype_final	tot_cells_w_fusion	frac_fusion_cells	annots	LeftBreakpoint	RightBreakpoint	Arriba	ctat-LR-fusion	FusionInspector	STAR-Fusion
SRSF7--DHX57	HGSOC	36	0.972972972972973	SRSF7--DHX57:[DepMap2023,CCLE_StarF2019];INTRACHROMOSOMAL[chr2:0.05Mb];LOCAL_REARRANGEMENT:-:[46235];;(recip)DHX57--SRSF7:INTRACHROMOSOMAL[chr2:0.05Mb];NEIGHBORS[46235]	chr2:38746144:-	chr2:38816612:-	NA	2	NA	NA
MIR4435-1HG--DARS	HGSOC	21	1	MIR4435-1HG--DARS:INTRACHROMOSOMAL[chr2:24.41Mb];;(recip)DARS--MIR4435-1HG:INTRACHROMOSOMAL[chr2:24.41Mb]	chr2:111494885:-	chr2:135943480:-	NA	20	1	NA
MIR4435-1HG--DARS	HGSOC	21	1	MIR4435-1HG--DARS:INTRACHROMOSOMAL[chr2:24.41Mb];;(recip)DARS--MIR4435-1HG:INTRACHROMOSOMAL[chr2:24.41Mb]	chr2:111494881:-	chr2:135911405:-	NA	1	NA	NA
MIR4435-1HG--DARS	HGSOC	21	1	MIR4435-1HG--DARS:INTRACHROMOSOMAL[chr2:24.41Mb];;(recip)DARS--MIR4435-1HG:INTRACHROMOSOMAL[chr2:24.41Mb]	chr2:111494885:-	chr2:135933990:-	NA	1	NA	NA
SPATS2--TRA2B	HGSOC	21	1	SPATS2--TRA2B:INTERCHROMOSOMAL[chr12--chr3];;(recip)TRA2B--SPATS2:INTERCHROMOSOMAL[chr3--chr12]	chr12:49461037:+	chr3:185931852:-	NA	21	10	6
SPATS2--TRA2B	HGSOC	21	1	SPATS2--TRA2B:INTERCHROMOSOMAL[chr12--chr3];;(recip)TRA2B--SPATS2:INTERCHROMOSOMAL[chr3--chr12]	chr3:185931852:-	chr12:49461037:+	5	NA	NA	NA
CBL--KMT2A	HGSOC	16	1	CBL--KMT2A:[CBL:FoundationOne_panel,CBL:ArcherDX_panel,CBL:Oncogene];[KMT2A:Oncogene,KMT2A:FoundationOne_panel,KMT2A:ArcherDX_panel];INTRACHROMOSOMAL[chr11:0.68Mb];;(recip)KMT2A--CBL:[KMT2A:Oncogene,KMT2A:FoundationOne_panel,KMT2A:ArcherDX_panel];[CBL:FoundationOne_panel,CBL:ArcherDX_panel,CBL:Oncogene];[Mitelman,ChimerKB,Cosmic];INTRACHROMOSOMAL[chr11:0.68Mb]	chr11:119232695:+	chr11:118480174:+	NA	15	NA	NA
CBL--KMT2A	HGSOC	16	1	CBL--KMT2A:[CBL:FoundationOne_panel,CBL:ArcherDX_panel,CBL:Oncogene];[KMT2A:Oncogene,KMT2A:FoundationOne_panel,KMT2A:ArcherDX_panel];INTRACHROMOSOMAL[chr11:0.68Mb];;(recip)KMT2A--CBL:[KMT2A:Oncogene,KMT2A:FoundationOne_panel,KMT2A:ArcherDX_panel];[CBL:FoundationOne_panel,CBL:ArcherDX_panel,CBL:Oncogene];[Mitelman,ChimerKB,Cosmic];INTRACHROMOSOMAL[chr11:0.68Mb]	chr11:119232695:+	chr11:118481715:+	NA	1	NA	NA
PLXNB2--DENND6B	HGSOC	14	1	PLXNB2--DENND6B:[DepMap2023,TCGA_StarF2019,CCLE_StarF2019];INTRACHROMOSOMAL[chr22:0.00Mb];LOCAL_REARRANGEMENT:-:[1403];;(recip)DENND6B--PLXNB2:INTRACHROMOSOMAL[chr22:0.00Mb];NEIGHBORS[1403]	chr22:50294719:-	chr22:50319003:-	NA	9	NA	NA
PLXNB2--DENND6B	HGSOC	14	1	PLXNB2--DENND6B:[DepMap2023,TCGA_StarF2019,CCLE_StarF2019];INTRACHROMOSOMAL[chr22:0.00Mb];LOCAL_REARRANGEMENT:-:[1403];;(recip)DENND6B--PLXNB2:INTRACHROMOSOMAL[chr22:0.00Mb];NEIGHBORS[1403]	chr22:50294726:-	chr22:50319003:-	NA	6	NA	NA
RP11-96H19.1--RP11-446N19.1	HGSOC	14	1	RP11-96H19.1--RP11-446N19.1:[DepMap2023];INTRACHROMOSOMAL[chr12:0.12Mb];;(recip)RP11-446N19.1--RP11-96H19.1:INTRACHROMOSOMAL[chr12:0.12Mb]	chr12:46387972:+	chr12:46652390:+	NA	13	8	NA
RMND5B--NHP2	HGSOC	12	0.857142857142857	RMND5B--NHP2:[RMND5B:Oncogene];INTRACHROMOSOMAL[chr5:0.00Mb];NEIGHBORS_OVERLAP:+:-:[1105];;(recip)NHP2--RMND5B:[RMND5B:Oncogene];INTRACHROMOSOMAL[chr5:0.00Mb];NEIGHBORS_OVERLAP:-:+:[1105]	chr5:178149680:+	chr5:178153830:-	NA	2	NA	NA
RMND5B--NHP2	HGSOC	12	0.857142857142857	RMND5B--NHP2:[RMND5B:Oncogene];INTRACHROMOSOMAL[chr5:0.00Mb];NEIGHBORS_OVERLAP:+:-:[1105];;(recip)NHP2--RMND5B:[RMND5B:Oncogene];INTRACHROMOSOMAL[chr5:0.00Mb];NEIGHBORS_OVERLAP:-:+:[1105]	chr5:178149688:+	chr5:178153828:-	NA	1	NA	NA
RMND5B--NHP2	HGSOC	12	0.857142857142857	RMND5B--NHP2:[RMND5B:Oncogene];INTRACHROMOSOMAL[chr5:0.00Mb];NEIGHBORS_OVERLAP:+:-:[1105];;(recip)NHP2--RMND5B:[RMND5B:Oncogene];INTRACHROMOSOMAL[chr5:0.00Mb];NEIGHBORS_OVERLAP:-:+:[1105]	chr5:178149655:+	chr5:178149642:-	NA	NA	10	NA
DEK--CASC17	HGSOC	11	1	DEK--CASC17:[DEK:Oncogene];INTERCHROMOSOMAL[chr6--chr17];;(recip)CASC17--DEK:[DEK:Oncogene];INTERCHROMOSOMAL[chr17--chr6]	chr6:18249578:-	chr17:71185655:-	NA	11	NA	NA
SLC7A6--ELMO3	HGSOC	11	1	SLC7A6--ELMO3:INTRACHROMOSOMAL[chr16:1.06Mb];;(recip)ELMO3--SLC7A6:INTRACHROMOSOMAL[chr16:1.06Mb]	chr16:68275249:+	chr16:67202397:+	NA	6	NA	NA
SLC7A6--ELMO3	HGSOC	11	1	SLC7A6--ELMO3:INTRACHROMOSOMAL[chr16:1.06Mb];;(recip)ELMO3--SLC7A6:INTRACHROMOSOMAL[chr16:1.06Mb]	chr16:68275249:+	chr16:67202176:+	NA	2	NA	NA
SLC7A6--ELMO3	HGSOC	11	1	SLC7A6--ELMO3:INTRACHROMOSOMAL[chr16:1.06Mb];;(recip)ELMO3--SLC7A6:INTRACHROMOSOMAL[chr16:1.06Mb]	chr16:68266721:+	chr16:67202176:+	NA	1	NA	NA
SLC7A6--ELMO3	HGSOC	11	1	SLC7A6--ELMO3:INTRACHROMOSOMAL[chr16:1.06Mb];;(recip)ELMO3--SLC7A6:INTRACHROMOSOMAL[chr16:1.06Mb]	chr16:68266721:+	chr16:67202397:+	NA	1	NA	NA
SLC7A6--ELMO3	HGSOC	11	1	SLC7A6--ELMO3:INTRACHROMOSOMAL[chr16:1.06Mb];;(recip)ELMO3--SLC7A6:INTRACHROMOSOMAL[chr16:1.06Mb]	chr16:68273904:+	chr16:67203808:+	NA	1	NA	NA
RP11-855A2.2--BPTF	HGSOC	10	1	RP11-855A2.2--BPTF:INTRACHROMOSOMAL[chr17:0.00Mb];NEIGHBORS_OVERLAP:+:+:[2138];;(recip)BPTF--RP11-855A2.2:INTRACHROMOSOMAL[chr17:0.00Mb];NEIGHBORS_OVERLAP:+:+:[2138]	chr17:67822409:+	chr17:67945409:+	NA	10	NA	NA
CTD-2008L17.1--RP11-456O19.2	HGSOC	8	1	CTD-2008L17.1--RP11-456O19.2:[DepMap2023];INTRACHROMOSOMAL[chr18:0.02Mb];NEIGHBORS[18613];;(recip)RP11-456O19.2--CTD-2008L17.1:INTRACHROMOSOMAL[chr18:0.02Mb];LOCAL_REARRANGEMENT:+:[18613]	chr18:55893442:+	chr18:56096075:+	NA	5	6	4
CTD-2008L17.1--RP11-456O19.2	HGSOC	8	1	CTD-2008L17.1--RP11-456O19.2:[DepMap2023];INTRACHROMOSOMAL[chr18:0.02Mb];NEIGHBORS[18613];;(recip)RP11-456O19.2--CTD-2008L17.1:INTRACHROMOSOMAL[chr18:0.02Mb];LOCAL_REARRANGEMENT:+:[18613]	chr18:55893442:+	chr18:56050080:+	NA	NA	4	1
TRIM23--RP11-454P21.1	HGSOC	8	1	TRIM23--RP11-454P21.1:INTRACHROMOSOMAL[chr5:47.63Mb];;(recip)RP11-454P21.1--TRIM23:INTRACHROMOSOMAL[chr5:47.63Mb]	chr5:65596421:-	chr5:17769909:+	NA	7	NA	NA
TRIM23--RP11-454P21.1	HGSOC	8	1	TRIM23--RP11-454P21.1:INTRACHROMOSOMAL[chr5:47.63Mb];;(recip)RP11-454P21.1--TRIM23:INTRACHROMOSOMAL[chr5:47.63Mb]	chr5:65604911:-	chr5:17852606:+	NA	1	NA	NA
WDR59--AARS	HGSOC	8	1	WDR59--AARS:INTRACHROMOSOMAL[chr16:4.58Mb];;(recip)AARS--WDR59:INTRACHROMOSOMAL[chr16:4.58Mb]	chr16:74903947:-	chr16:70271972:-	NA	8	4	4
DUXAP10--LA16c-60G3.6	HGSOC	7	1	DUXAP10--LA16c-60G3.6:INTERCHROMOSOMAL[chr14--chr22];;(recip)LA16c-60G3.6--DUXAP10:INTERCHROMOSOMAL[chr22--chr14]	chr14:19062466:+	chr22:15557275:+	NA	7	NA	NA
MIF-AS1--MIF	HGSOC	7	0.875	MIF-AS1--MIF:[MIF:Oncogene];INTRACHROMOSOMAL[chr22:0.00Mb];NEIGHBORS_OVERLAP:-:+:[801];;(recip)MIF--MIF-AS1:[MIF:Oncogene];INTRACHROMOSOMAL[chr22:0.00Mb];NEIGHBORS_OVERLAP:+:-:[801]	chr22:23895073:-	chr22:23895101:+	NA	NA	7	NA
SMC1B--TBC1D22A	HGSOC	6	1	NA	chr22:45409875:-	chr22:46797620:+	6	NA	NA	NA
TBL1XR1--TBL1XR1(22663),LINC00501(43779)	HGSOC	6	1	NA	chr3:177197121:-	chr3:177250663:.	6	NA	NA	NA
DEK--RNU7-155P(196402),AC118653.2(101718)	HGSOC	5	1	NA	chr6:18249651:-	chr17:71494620:.	5	NA	NA	NA
