proxy_fusion_name	type	sample	FusionName	lex_ordered_fusion_name
SKBR3|SAMD12-AS1--COLEC10	shared	SKBR3	SAMD12-AS1--COLEC10	SKBR3|COLEC10--SAMD12-AS1
DMS53|KIAA0232--CH507-528H12.1	shared	DMS53	KIAA0232--CH507-528H12.1	DMS53|CH507-528H12.1--KIAA0232
DMS53|RP11-59N23.3--CMAS	shared	DMS53	RP11-59N23.3--CMAS	DMS53|CMAS--RP11-59N23.3
VCAP|USP10--ZDHHC7	shared	VCAP	USP10--ZDHHC7	VCAP|USP10--ZDHHC7
VCAP|CSNK1G3--CTC-338M12.6	shared	VCAP	CSNK1G3--CTC-338M12.6	VCAP|CSNK1G3--CTC-338M12.6
DMS53|TMEM131--AC009237.2	shared	DMS53	TMEM131--AC009237.2	DMS53|AC009237.2--TMEM131
VCAP|ZNF410--AC025918.2	shared	VCAP	ZNF410--AC025918.2	VCAP|AC025918.2--ZNF410
HCC1395|ST3GAL4--RP11-115C10.1	shared	HCC1395	ST3GAL4--RP11-115C10.1	HCC1395|RP11-115C10.1--ST3GAL4
HCC1395|UNC5C--RP11-681L8.1	shared	HCC1395	UNC5C--RP11-681L8.1	HCC1395|RP11-681L8.1--UNC5C
HCC1395|PDIA5--CH507-528H12.1	shared	HCC1395	PDIA5--CH507-528H12.1	HCC1395|CH507-528H12.1--PDIA5
SKBR3|EIF2B5--RP11-132N15.1	shared	SKBR3	EIF2B5--RP11-132N15.1	SKBR3|EIF2B5--RP11-132N15.1
K562|BCR--ABL1	unique	K562	BCR--ABL1	K562|ABL1--BCR
DMS53|UBQLN2--LINC01420	unique	DMS53	UBQLN2--LINC01420	DMS53|LINC01420--UBQLN2
DMS53|RP11-368L12.1--RP11-96H17.1	unique	DMS53	RP11-368L12.1--RP11-96H17.1	DMS53|RP11-368L12.1--RP11-96H17.1
VCAP|CNNM4--PARD3B	unique	VCAP	CNNM4--PARD3B	VCAP|CNNM4--PARD3B
K562|CCDC26--LINC00977	unique	K562	CCDC26--LINC00977	K562|CCDC26--LINC00977
HCC1187|KLK5--CDH23	unique	HCC1187	KLK5--CDH23	HCC1187|CDH23--KLK5
HCC1395|UNC5C--STPG2	unique	HCC1395	UNC5C--STPG2	HCC1395|STPG2--UNC5C
DMS53|AP003900.6--bP-2189O9.3	unique	DMS53	AP003900.6--bP-2189O9.3	DMS53|AP003900.6--bP-2189O9.3
K562|RP5-964N17.1--LRCH2	unique	K562	RP5-964N17.1--LRCH2	K562|LRCH2--RP5-964N17.1
DMS53|RP11-59N23.1--CMAS	unique	DMS53	RP11-59N23.1--CMAS	DMS53|CMAS--RP11-59N23.1
VCAP|ZDHHC7--H3F3B	unique	VCAP	ZDHHC7--H3F3B	VCAP|H3F3B--ZDHHC7
HCC1395|HELZ--HMGB1P7	unique	HCC1395	HELZ--HMGB1P7	HCC1395|HELZ--HMGB1P7
