sample.starF	FusionName.StarF	JunctionReadCount	SpanningFragCount	est_J	est_S	SpliceType	LeftGene	LeftBreakpoint	RightGene	RightBreakpoint	LargeAnchorSupport	FFPM	LeftBreakDinuc	LeftBreakEntropy	RightBreakDinuc	RightBreakEntropy	annots	lex_ordered_fusion_name	proxy_fusion_name.starF	LR_progs	num_LR_progs	type	FusionName.LR	sample.arriba	gene1	gene2	confidence	split_reads1	split_reads2	discordant_mates	FusionName.arriba	proxy_fusion_name.arriba	has_long_read_support	progs	left_gene_coords	right_gene_coords	priority_fusion_name
RT112	PALM2--AKAP2	4	3	4	3	INCL_NON_REF_SPLICE	PALM2^ENSG00000243444.6	chr9:110016039:+	AKAP2^ENSG00000241978.8	chr9:110136127:+	YES_LDAS	0.1363	GT	1.9219	AG	1.8295	[ChimerSeq,INTRACHROMOSOMAL[chr9:0.10Mb]]	RT112|AKAP2--PALM2	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr9:110048598-110172512	chr9:109640788-109946703	PALM2--AKAP2
RT112	RP11-494M8.4--OVCH2	1	5	1	5	ONLY_REF_SPLICE	RP11-494M8.4^ENSG00000254951.6	chr11:7879007:-	OVCH2^ENSG00000183378.10	chr11:7704674:-	YES_LDAS	0.1169	GT	1.7056	AG	1.8256	[INTRACHROMOSOMAL[chr11:0.05Mb],NEIGHBORS[47972]]	RT112|OVCH2--RP11-494M8.4	NA	NA	NA	no_LR_pred	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	starF	chr11:7689438-7706421	chr11:7754393-7905955	RP11-494M8.4--OVCH2
SKBR3	TATDN1--GSDMB	2783	1	2783	0.75	ONLY_REF_SPLICE	TATDN1^ENSG00000147687.15	chr8:124539025:-	GSDMB^ENSG00000073605.17	chr17:39909924:-	YES_LDAS	67.8052	GT	1.9219	AG	1.5628	[Klijn_CellLines,ChimerPub,CCLE_StarF2019,INTERCHROMOSOMAL[chr8--chr17]]	SKBR3|GSDMB--TATDN1	SKBR3|TATDN1--GSDMB	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	TATDN1--GSDMB	SKBR3	TATDN1	GSDMB	high	30	301	3	TATDN1--GSDMB	SKBR3|TATDN1--GSDMB	TRUE	starF,arriba	chr17:39904595-39919854	chr8:124488485-124539458	TATDN1--GSDMB
SKBR3	TATDN1--GSDMB	2783	1	2783	0.75	ONLY_REF_SPLICE	TATDN1^ENSG00000147687.15	chr8:124539025:-	GSDMB^ENSG00000073605.17	chr17:39909924:-	YES_LDAS	67.8052	GT	1.9219	AG	1.5628	[Klijn_CellLines,ChimerPub,CCLE_StarF2019,INTERCHROMOSOMAL[chr8--chr17]]	SKBR3|GSDMB--TATDN1	SKBR3|TATDN1--GSDMB	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	TATDN1--GSDMB	SKBR3	TATDN1	GSDMB	high	7	100	0	TATDN1--GSDMB	SKBR3|TATDN1--GSDMB	TRUE	starF,arriba	chr17:39904595-39919854	chr8:124488485-124539458	TATDN1--GSDMB
SKBR3	TATDN1--GSDMB	872	0	872	0	ONLY_REF_SPLICE	TATDN1^ENSG00000147687.15	chr8:124539025:-	GSDMB^ENSG00000073605.17	chr17:39905985:-	YES_LDAS	21.2397	GT	1.9219	AG	1.9086	[Klijn_CellLines,ChimerPub,CCLE_StarF2019,INTERCHROMOSOMAL[chr8--chr17]]	SKBR3|GSDMB--TATDN1	SKBR3|TATDN1--GSDMB	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	TATDN1--GSDMB	SKBR3	TATDN1	GSDMB	high	30	301	3	TATDN1--GSDMB	SKBR3|TATDN1--GSDMB	TRUE	starF,arriba	chr17:39904595-39919854	chr8:124488485-124539458	TATDN1--GSDMB
SKBR3	TATDN1--GSDMB	872	0	872	0	ONLY_REF_SPLICE	TATDN1^ENSG00000147687.15	chr8:124539025:-	GSDMB^ENSG00000073605.17	chr17:39905985:-	YES_LDAS	21.2397	GT	1.9219	AG	1.9086	[Klijn_CellLines,ChimerPub,CCLE_StarF2019,INTERCHROMOSOMAL[chr8--chr17]]	SKBR3|GSDMB--TATDN1	SKBR3|TATDN1--GSDMB	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	TATDN1--GSDMB	SKBR3	TATDN1	GSDMB	high	7	100	0	TATDN1--GSDMB	SKBR3|TATDN1--GSDMB	TRUE	starF,arriba	chr17:39904595-39919854	chr8:124488485-124539458	TATDN1--GSDMB
SKBR3	TATDN1--GSDMB	512	1	512	0.14	ONLY_REF_SPLICE	TATDN1^ENSG00000147687.15	chr8:124539025:-	GSDMB^ENSG00000073605.17	chr17:39906271:-	YES_LDAS	12.4744	GT	1.9219	AG	1.7819	[Klijn_CellLines,ChimerPub,CCLE_StarF2019,INTERCHROMOSOMAL[chr8--chr17]]	SKBR3|GSDMB--TATDN1	SKBR3|TATDN1--GSDMB	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	TATDN1--GSDMB	SKBR3	TATDN1	GSDMB	high	30	301	3	TATDN1--GSDMB	SKBR3|TATDN1--GSDMB	TRUE	starF,arriba	chr17:39904595-39919854	chr8:124488485-124539458	TATDN1--GSDMB
SKBR3	TATDN1--GSDMB	512	1	512	0.14	ONLY_REF_SPLICE	TATDN1^ENSG00000147687.15	chr8:124539025:-	GSDMB^ENSG00000073605.17	chr17:39906271:-	YES_LDAS	12.4744	GT	1.9219	AG	1.7819	[Klijn_CellLines,ChimerPub,CCLE_StarF2019,INTERCHROMOSOMAL[chr8--chr17]]	SKBR3|GSDMB--TATDN1	SKBR3|TATDN1--GSDMB	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	TATDN1--GSDMB	SKBR3	TATDN1	GSDMB	high	7	100	0	TATDN1--GSDMB	SKBR3|TATDN1--GSDMB	TRUE	starF,arriba	chr17:39904595-39919854	chr8:124488485-124539458	TATDN1--GSDMB
SKBR3	TATDN1--GSDMB	432	5	432	4.12	ONLY_REF_SPLICE	TATDN1^ENSG00000147687.15	chr8:124538928:-	GSDMB^ENSG00000073605.17	chr17:39909924:-	YES_LDAS	10.6228	GT	1.7465	AG	1.5628	[Klijn_CellLines,ChimerPub,CCLE_StarF2019,INTERCHROMOSOMAL[chr8--chr17]]	SKBR3|GSDMB--TATDN1	SKBR3|TATDN1--GSDMB	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	TATDN1--GSDMB	SKBR3	TATDN1	GSDMB	high	30	301	3	TATDN1--GSDMB	SKBR3|TATDN1--GSDMB	TRUE	starF,arriba	chr17:39904595-39919854	chr8:124488485-124539458	TATDN1--GSDMB
SKBR3	TATDN1--GSDMB	432	5	432	4.12	ONLY_REF_SPLICE	TATDN1^ENSG00000147687.15	chr8:124538928:-	GSDMB^ENSG00000073605.17	chr17:39909924:-	YES_LDAS	10.6228	GT	1.7465	AG	1.5628	[Klijn_CellLines,ChimerPub,CCLE_StarF2019,INTERCHROMOSOMAL[chr8--chr17]]	SKBR3|GSDMB--TATDN1	SKBR3|TATDN1--GSDMB	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	TATDN1--GSDMB	SKBR3	TATDN1	GSDMB	high	7	100	0	TATDN1--GSDMB	SKBR3|TATDN1--GSDMB	TRUE	starF,arriba	chr17:39904595-39919854	chr8:124488485-124539458	TATDN1--GSDMB
SKBR3	CYTH1--EIF3H	205	0	205	0	ONLY_REF_SPLICE	CYTH1^ENSG00000108669.15	chr17:78782202:-	EIF3H^ENSG00000147677.9	chr8:116756019:-	YES_LDAS	4.9933	GT	1.8256	AG	1.9329	[Klijn_CellLines,ChimerSeq,CCLE_StarF2019,INTERCHROMOSOMAL[chr17--chr8]]	SKBR3|CYTH1--EIF3H	SKBR3|CYTH1--EIF3H	JAFFAL,ctat-LR-fusion,fusionseeker,pbfusion	4	shared_LR_pred	CYTH1--EIF3H	SKBR3	CYTH1	EIF3H	high	2	204	0	CYTH1--EIF3H	SKBR3|CYTH1--EIF3H	TRUE	starF,arriba	chr17:78674048-78782297	chr8:116642130-116766925	CYTH1--EIF3H
SKBR3	RARA--PKIA	164	0	164	0	ONLY_REF_SPLICE	RARA^ENSG00000131759.16	chr17:40309286:+	PKIA^ENSG00000171033.11	chr8:78572811:+	YES_LDAS	3.9946	GT	1.7819	AG	1.6402	[ChimerSeq,CCLE_StarF2019,INTERCHROMOSOMAL[chr17--chr8]]	SKBR3|PKIA--RARA	SKBR3|RARA--PKIA	JAFFAL,ctat-LR-fusion,fusionseeker,pbfusion	4	shared_LR_pred	RARA--PKIA	SKBR3	RARA	PKIA	high	5	148	0	RARA--PKIA	SKBR3|RARA--PKIA	TRUE	starF,arriba	chr8:78516139-78605267	chr17:40309192-40357643	RARA--PKIA
SKBR3	RARA--PKIA	164	0	164	0	ONLY_REF_SPLICE	RARA^ENSG00000131759.16	chr17:40309286:+	PKIA^ENSG00000171033.11	chr8:78572811:+	YES_LDAS	3.9946	GT	1.7819	AG	1.6402	[ChimerSeq,CCLE_StarF2019,INTERCHROMOSOMAL[chr17--chr8]]	SKBR3|PKIA--RARA	SKBR3|RARA--PKIA	JAFFAL,ctat-LR-fusion,fusionseeker,pbfusion	4	shared_LR_pred	RARA--PKIA	SKBR3	RARA	PKIA	high	1	25	0	RARA--PKIA	SKBR3|RARA--PKIA	TRUE	starF,arriba	chr8:78516139-78605267	chr17:40309192-40357643	RARA--PKIA
SKBR3	SUMF1--LRRFIP2	109	45	109	45	ONLY_REF_SPLICE	SUMF1^ENSG00000144455.12	chr3:4376330:-	LRRFIP2^ENSG00000093167.16	chr3:37129149:-	YES_LDAS	3.7511	GT	1.9899	AG	1.7465	[Klijn_CellLines,ChimerSeq,CCLE_StarF2019,INTRACHROMOSOMAL[chr3:32.59Mb]]	SKBR3|LRRFIP2--SUMF1	SKBR3|SUMF1--LRRFIP2	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	SUMF1--LRRFIP2	SKBR3	SUMF1	LRRFIP2	high	41	53	42	SUMF1--LRRFIP2	SKBR3|SUMF1--LRRFIP2	TRUE	starF,arriba	chr3:37052656-37183689	chr3:3700814-4467281	SUMF1--LRRFIP2
SKBR3	SUMF1--LRRFIP2	109	45	109	45	ONLY_REF_SPLICE	SUMF1^ENSG00000144455.12	chr3:4376330:-	LRRFIP2^ENSG00000093167.16	chr3:37129149:-	YES_LDAS	3.7511	GT	1.9899	AG	1.7465	[Klijn_CellLines,ChimerSeq,CCLE_StarF2019,INTRACHROMOSOMAL[chr3:32.59Mb]]	SKBR3|LRRFIP2--SUMF1	SKBR3|SUMF1--LRRFIP2	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	SUMF1--LRRFIP2	SKBR3	SUMF1	LRRFIP2	high	2	6	29	SUMF1--LRRFIP2	SKBR3|SUMF1--LRRFIP2	TRUE	starF,arriba	chr3:37052656-37183689	chr3:3700814-4467281	SUMF1--LRRFIP2
SKBR3	TAF2--COLEC10	68	25	68	25	ONLY_REF_SPLICE	TAF2^ENSG00000064313.10	chr8:119795532:-	COLEC10^ENSG00000184374.2	chr8:119102348:+	YES_LDAS	2.2652	GT	1.8062	AG	1.5628	[CCLE_StarF2019,INTRACHROMOSOMAL[chr8:0.62Mb]]	SKBR3|COLEC10--TAF2	SKBR3|TAF2--COLEC10	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	TAF2--COLEC10	SKBR3	TAF2	COLEC10	high	25	36	24	TAF2--COLEC10	SKBR3|TAF2--COLEC10	TRUE	starF,arriba	chr8:118995452-119106582	chr8:119730775-119832863	TAF2--COLEC10
SKBR3	TAF2--COLEC10	68	25	68	25	ONLY_REF_SPLICE	TAF2^ENSG00000064313.10	chr8:119795532:-	COLEC10^ENSG00000184374.2	chr8:119102348:+	YES_LDAS	2.2652	GT	1.8062	AG	1.5628	[CCLE_StarF2019,INTRACHROMOSOMAL[chr8:0.62Mb]]	SKBR3|COLEC10--TAF2	SKBR3|TAF2--COLEC10	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	TAF2--COLEC10	SKBR3	TAF2	COLEC10	high	4	0	25	TAF2--COLEC10	SKBR3|TAF2--COLEC10	TRUE	starF,arriba	chr8:118995452-119106582	chr8:119730775-119832863	TAF2--COLEC10
SKBR3	CYTH1--EIF3H	64	0	64	0	ONLY_REF_SPLICE	CYTH1^ENSG00000108669.15	chr17:78782202:-	EIF3H^ENSG00000147677.9	chr8:116726172:-	YES_LDAS	1.5589	GT	1.8256	AG	1.5656	[Klijn_CellLines,ChimerSeq,CCLE_StarF2019,INTERCHROMOSOMAL[chr17--chr8]]	SKBR3|CYTH1--EIF3H	SKBR3|CYTH1--EIF3H	JAFFAL,ctat-LR-fusion,fusionseeker,pbfusion	4	shared_LR_pred	CYTH1--EIF3H	SKBR3	CYTH1	EIF3H	high	2	204	0	CYTH1--EIF3H	SKBR3|CYTH1--EIF3H	TRUE	starF,arriba	chr17:78674048-78782297	chr8:116642130-116766925	CYTH1--EIF3H
SKBR3	KLHDC2--SNTB1	60	36	60	36	ONLY_REF_SPLICE	KLHDC2^ENSG00000165516.9	chr14:49782594:+	SNTB1^ENSG00000172164.12	chr8:120548958:-	YES_LDAS	2.3383	GT	1.9086	AG	1.9329	[CCLE_StarF2019,INTERCHROMOSOMAL[chr14--chr8]]	SKBR3|KLHDC2--SNTB1	SKBR3|KLHDC2--SNTB1	JAFFAL,LongGF,ctat-LR-fusion,fusionseeker,pbfusion	5	shared_LR_pred	KLHDC2--SNTB1	SKBR3	KLHDC2	SNTB1	high	8	14	31	KLHDC2--SNTB1	SKBR3|KLHDC2--SNTB1	TRUE	starF,arriba	chr14:49767608-49786385	chr8:120535745-120813273	KLHDC2--SNTB1
SKBR3	CCDC85C--SETD3	54	5	54	4.35	ONLY_REF_SPLICE	CCDC85C^ENSG00000205476.7	chr14:99536015:-	SETD3^ENSG00000183576.11	chr14:99413934:-	YES_LDAS	1.4213	GT	1.8892	AG	1.6729	[TCGA_StarF2019,CCLE_StarF2019,INTRACHROMOSOMAL[chr14:0.02Mb],NEIGHBORS[19291]]	SKBR3|CCDC85C--SETD3	NA	NA	NA	no_LR_pred	NA	SKBR3	CCDC85C	SETD3	high	15	43	5	CCDC85C--SETD3	NA	FALSE	starF,arriba	chr14:99500180-99604026	chr14:99397746-99480889	CCDC85C--SETD3
SKBR3	CCDC85C--SETD3	54	5	54	4.35	ONLY_REF_SPLICE	CCDC85C^ENSG00000205476.7	chr14:99536015:-	SETD3^ENSG00000183576.11	chr14:99413934:-	YES_LDAS	1.4213	GT	1.8892	AG	1.6729	[TCGA_StarF2019,CCLE_StarF2019,INTRACHROMOSOMAL[chr14:0.02Mb],NEIGHBORS[19291]]	SKBR3|CCDC85C--SETD3	NA	NA	NA	no_LR_pred	NA	SKBR3	CCDC85C	SETD3	high	4	6	5	CCDC85C--SETD3	NA	FALSE	starF,arriba	chr14:99500180-99604026	chr14:99397746-99480889	CCDC85C--SETD3
SKBR3	CYTH1--EIF3H	53	0	53	0	ONLY_REF_SPLICE	CYTH1^ENSG00000108669.15	chr17:78782202:-	EIF3H^ENSG00000147677.9	chr8:116658980:-	YES_LDAS	1.2909	GT	1.8256	AG	1.9656	[Klijn_CellLines,ChimerSeq,CCLE_StarF2019,INTERCHROMOSOMAL[chr17--chr8]]	SKBR3|CYTH1--EIF3H	SKBR3|CYTH1--EIF3H	JAFFAL,ctat-LR-fusion,fusionseeker,pbfusion	4	shared_LR_pred	CYTH1--EIF3H	SKBR3	CYTH1	EIF3H	high	2	204	0	CYTH1--EIF3H	SKBR3|CYTH1--EIF3H	TRUE	starF,arriba	chr17:78674048-78782297	chr8:116642130-116766925	CYTH1--EIF3H
SKBR3	RARA--PKIA	40	0	40	0	INCL_NON_REF_SPLICE	RARA^ENSG00000131759.16	chr17:40309286:+	PKIA^ENSG00000171033.11	chr8:78567481:+	YES_LDAS	0.9743	GT	1.7819	AG	1.7056	[ChimerSeq,CCLE_StarF2019,INTERCHROMOSOMAL[chr17--chr8]]	SKBR3|PKIA--RARA	SKBR3|RARA--PKIA	JAFFAL,ctat-LR-fusion,fusionseeker,pbfusion	4	shared_LR_pred	RARA--PKIA	SKBR3	RARA	PKIA	high	5	148	0	RARA--PKIA	SKBR3|RARA--PKIA	TRUE	starF,arriba	chr8:78516139-78605267	chr17:40309192-40357643	RARA--PKIA
